,,"2019","2019","2019"
"Indicator","Age Group","Both sexes","Male","Female"
"nMx - age-specific death rate between ages x and x+n","<1 year","0.07795753","0.08472576","0.070843675"
"nMx - age-specific death rate between ages x and x+n","1-4 years","0.011612846","0.011608858","0.011617027"
"nMx - age-specific death rate between ages x and x+n","5-9 years","0.002723042","0.002722105","0.002724021"
"nMx - age-specific death rate between ages x and x+n","10-14 years","0.00158504","0.001797356","0.001364001"
"nMx - age-specific death rate between ages x and x+n","15-19  years","0.000987605","0.001123526","0.000846816"
"nMx - age-specific death rate between ages x and x+n","20-24 years","0.001336684","0.001496755","0.001171786"
"nMx - age-specific death rate between ages x and x+n","25-29 years","0.001853539","0.001958739","0.00174535"
"nMx - age-specific death rate between ages x and x+n","30-34 years","0.002591262","0.002708144","0.002470973"
"nMx - age-specific death rate between ages x and x+n","35-39 years","0.003637096","0.003923418","0.003342188"
"nMx - age-specific death rate between ages x and x+n","40-44 years","0.004883613","0.005471085","0.00428252"
"nMx - age-specific death rate between ages x and x+n","45-49 years","0.006495959","0.007277823","0.005708095"
"nMx - age-specific death rate between ages x and x+n","50-54 years","0.008944078","0.010073709","0.007834459"
"nMx - age-specific death rate between ages x and x+n","55-59 years","0.012493271","0.014155609","0.010898225"
"nMx - age-specific death rate between ages x and x+n","60-64 years","0.019078325","0.021439719","0.01688116"
"nMx - age-specific death rate between ages x and x+n","65-69 years","0.0284467","0.03163662","0.025569525"
"nMx - age-specific death rate between ages x and x+n","70-74 years","0.046025507","0.049246172","0.043090941"
"nMx - age-specific death rate between ages x and x+n","75-79 years","0.070706908","0.074477401","0.06735694"
"nMx - age-specific death rate between ages x and x+n","80-84 years","0.107426509","0.112000995","0.103489853"
"nMx - age-specific death rate between ages x and x+n","85+ years","0.180394553","0.190166698","0.172323508"
"nqx - probability of dying between ages x and x+n","<1 year","0.073923505","0.079982174","0.067496485"
"nqx - probability of dying between ages x and x+n","1-4 years","0.045191848","0.04517675","0.045207679"
"nqx - probability of dying between ages x and x+n","5-9 years","0.013523149","0.013518528","0.013527977"
"nqx - probability of dying between ages x and x+n","10-14 years","0.007893919","0.00894658","0.006796826"
"nqx - probability of dying between ages x and x+n","15-19  years","0.004925864","0.005601896","0.004225134"
"nqx - probability of dying between ages x and x+n","20-24 years","0.006661161","0.007455874","0.005841817"
"nqx - probability of dying between ages x and x+n","25-29 years","0.009224948","0.009745971","0.008688837"
"nqx - probability of dying between ages x and x+n","30-34 years","0.012872918","0.013449663","0.012279011"
"nqx - probability of dying between ages x and x+n","35-39 years","0.018021614","0.019426543","0.01657247"
"nqx - probability of dying between ages x and x+n","40-44 years","0.024123542","0.026986313","0.02118578"
"nqx - probability of dying between ages x and x+n","45-49 years","0.031960755","0.035738861","0.028138928"
"nqx - probability of dying between ages x and x+n","50-54 years","0.043742305","0.049131213","0.038419799"
"nqx - probability of dying between ages x and x+n","55-59 years","0.060574425","0.068358893","0.05304586"
"nqx - probability of dying between ages x and x+n","60-64 years","0.091048968","0.10174513","0.080987875"
"nqx - probability of dying between ages x and x+n","65-69 years","0.132789911","0.14658914","0.120166146"
"nqx - probability of dying between ages x and x+n","70-74 years","0.206380604","0.219239138","0.194501566"
"nqx - probability of dying between ages x and x+n","75-79 years","0.300428597","0.313934449","0.288246239"
"nqx - probability of dying between ages x and x+n","80-84 years","0.423417017","0.437503037","0.411090124"
"nqx - probability of dying between ages x and x+n","85+ years","1","1","1"
"lx - number of people left alive at age x","<1 year","1.00E+05","1.00E+05","1.00E+05"
"lx - number of people left alive at age x","1-4 years","92607.64954","92001.78257","93250.35145"
"lx - number of people left alive at age x","5-9 years","88422.53871","87845.44104","89034.71951"
"lx - number of people left alive at age x","10-14 years","87226.78756","86657.89996","87830.25988"
"lx - number of people left alive at age x","15-19  years","86538.22639","85882.6081","87233.29286"
"lx - number of people left alive at age x","20-24 years","86111.95081","85401.50265","86864.72048"
"lx - number of people left alive at age x","25-29 years","85538.34527","84764.75981","86357.2727"
"lx - number of people left alive at age x","30-34 years","84749.25851","83938.64495","85606.92847"
"lx - number of people left alive at age x","35-39 years","83658.28823","82809.69849","84555.76002"
"lx - number of people left alive at age x","40-44 years","82150.63088","81200.9923","83154.46219"
"lx - number of people left alive at age x","45-49 years","80168.86667","79009.67692","81392.77001"
"lx - number of people left alive at age x","50-54 years","77606.60917","76185.96108","79102.46475"
"lx - number of people left alive at age x","55-59 years","74211.91719","72442.85239","76063.36394"
"lx - number of people left alive at age x","60-64 years","69716.57301","67490.73921","72028.51742"
"lx - number of people left alive at age x","65-69 years","63368.95095","60623.8852","66195.08084"
"lx - number of people left alive at age x","70-74 years","54954.19358","51737.08201","58240.67307"
"lx - number of people left alive at age x","75-79 years","43612.71394","40394.28877","46912.77093"
"lx - number of people left alive at age x","80-84 years","30510.20749","27713.12998","33390.34116"
"lx - number of people left alive at age x","85+ years","17591.66645","15588.55145","19663.90166"
"ndx - number of people dying between ages x and x+n","<1 year","7392.350463","7998.217428","6749.648547"
"ndx - number of people dying between ages x and x+n","1-4 years","4185.110827","4156.341534","4215.631939"
"ndx - number of people dying between ages x and x+n","5-9 years","1195.751146","1187.541077","1204.459635"
"ndx - number of people dying between ages x and x+n","10-14 years","688.5611784","775.291862","596.9670184"
"ndx - number of people dying between ages x and x+n","15-19  years","426.2755725","481.1054516","368.5723831"
"ndx - number of people dying between ages x and x+n","20-24 years","573.6055414","636.7428398","507.4477762"
"ndx - number of people dying between ages x and x+n","25-29 years","789.0867603","826.1148558","750.3442291"
"ndx - number of people dying between ages x and x+n","30-34 years","1090.970284","1128.946457","1051.168451"
"ndx - number of people dying between ages x and x+n","35-39 years","1507.657349","1608.706199","1401.297828"
"ndx - number of people dying between ages x and x+n","40-44 years","1981.764206","2191.315377","1761.692183"
"ndx - number of people dying between ages x and x+n","45-49 years","2562.257505","2823.715843","2290.305263"
"ndx - number of people dying between ages x and x+n","50-54 years","3394.691981","3743.108683","3039.100804"
"ndx - number of people dying between ages x and x+n","55-59 years","4495.344176","4952.113182","4034.846524"
"ndx - number of people dying between ages x and x+n","60-64 years","6347.622057","6866.854008","5833.43658"
"ndx - number of people dying between ages x and x+n","65-69 years","8414.757374","8886.80319","7954.407771"
"ndx - number of people dying between ages x and x+n","70-74 years","11341.47964","11342.79325","11327.90213"
"ndx - number of people dying between ages x and x+n","75-79 years","13102.50645","12681.15879","13522.42977"
"ndx - number of people dying between ages x and x+n","80-84 years","12918.54104","12124.57853","13726.43949"
"ndx - number of people dying between ages x and x+n","85+ years","17591.66645","15588.55145","19663.90166"
"nLx - person-years lived between ages x and x+n","<1 year","94825.35468","94401.2478","95275.24602"
"nLx - person-years lived between ages x and x+n","1-4 years","360386.3322","358031.9106","362883.8892"
"nLx - person-years lived between ages x and x+n","5-9 years","439123.3157","436258.3525","442162.4485"
"nLx - person-years lived between ages x and x+n","10-14 years","434412.5349","431351.2701","437658.8818"
"nLx - person-years lived between ages x and x+n","15-19  years","431625.443","428210.2769","435245.0333"
"nLx - person-years lived between ages x and x+n","20-24 years","429125.7402","425415.6561","433054.9829"
"nLx - person-years lived between ages x and x+n","25-29 years","425719.0095","421758.5119","429910.5029"
"nLx - person-years lived between ages x and x+n","30-34 years","421018.8668","416870.8586","425406.7212"
"nLx - person-years lived between ages x and x+n","35-39 years","414522.2978","410026.727","419275.5555"
"nLx - person-years lived between ages x and x+n","40-44 years","405798.7439","400526.673","411368.0805"
"nLx - person-years lived between ages x and x+n","45-49 years","394438.6896","387989.095","401238.0869"
"nLx - person-years lived between ages x and x+n","50-54 years","379546.3159","371572.0337","387914.5717"
"nLx - person-years lived between ages x and x+n","55-59 years","359821.2255","349833.979","370229.7034"
"nLx - person-years lived between ages x and x+n","60-64 years","332713.8099","320286.561","345558.9956"
"nLx - person-years lived between ages x and x+n","65-69 years","295807.8613","280902.418","311089.3848"
"nLx - person-years lived between ages x and x+n","70-74 years","246417.2688","230328.4269","262883.61"
"nLx - person-years lived between ages x and x+n","75-79 years","185307.3036","170268.5469","200757.7802"
"nLx - person-years lived between ages x and x+n","80-84 years","120254.6848","108254.2036","132635.6071"
"nLx - person-years lived between ages x and x+n","85+ years","91002.66897","77243.25197","105505.6402"
"Tx - person-years lived above age x","<1 year","6261867.467","6119530.001","6410054.722"
"Tx - person-years lived above age x","1-4 years","6167042.112","6025128.753","6314779.476"
"Tx - person-years lived above age x","5-9 years","5806655.78","5667096.842","5951895.587"
"Tx - person-years lived above age x","10-14 years","5367532.464","5230838.49","5509733.138"
"Tx - person-years lived above age x","15-19  years","4933119.93","4799487.22","5072074.256"
"Tx - person-years lived above age x","20-24 years","4501494.487","4371276.943","4636829.223"
"Tx - person-years lived above age x","25-29 years","4072368.746","3945861.287","4203774.24"
"Tx - person-years lived above age x","30-34 years","3646649.737","3524102.775","3773863.737"
"Tx - person-years lived above age x","35-39 years","3225630.87","3107231.916","3348457.016"
"Tx - person-years lived above age x","40-44 years","2811108.572","2697205.189","2929181.46"
"Tx - person-years lived above age x","45-49 years","2405309.828","2296678.516","2517813.38"
"Tx - person-years lived above age x","50-54 years","2010871.139","1908689.421","2116575.293"
"Tx - person-years lived above age x","55-59 years","1631324.823","1537117.387","1728660.721"
"Tx - person-years lived above age x","60-64 years","1271503.597","1187283.408","1358431.018"
"Tx - person-years lived above age x","65-69 years","938789.7875","866996.8474","1012872.022"
"Tx - person-years lived above age x","70-74 years","642981.9262","586094.4293","701782.6375"
"Tx - person-years lived above age x","75-79 years","396564.6574","355766.0024","438899.0275"
"Tx - person-years lived above age x","80-84 years","211257.3538","185497.4555","238141.2473"
"Tx - person-years lived above age x","85+ years","91002.66897","77243.25197","105505.6402"
"ex - expectation of life at age x","<1 year","62.61867467","61.19530001","64.10054722"
"ex - expectation of life at age x","1-4 years","66.59322576","65.48926102","67.71855953"
"ex - expectation of life at age x","5-9 years","65.6694081","64.51213376","66.849153"
"ex - expectation of life at age x","10-14 years","61.53536791","60.3619346","62.73160464"
"ex - expectation of life at age x","15-19  years","57.00509631","55.8842742","58.14378995"
"ex - expectation of life at age x","20-24 years","52.27491009","51.18501206","53.37988999"
"ex - expectation of life at age x","25-29 years","47.60869214","46.5507281","48.67886755"
"ex - expectation of life at age x","30-34 years","43.02869194","41.9842705","44.08362506"
"ex - expectation of life at age x","35-39 years","38.55721816","37.52256043","39.60057854"
"ex - expectation of life at age x","40-44 years","34.21895294","33.21640676","35.22578805"
"ex - expectation of life at age x","45-49 years","30.00304143","29.0683193","30.93411589"
"ex - expectation of life at age x","50-54 years","25.91108103","25.05303332","26.75738739"
"ex - expectation of life at age x","55-59 years","21.98197924","21.21834435","22.72658783"
"ex - expectation of life at age x","60-64 years","18.23818272","17.59179737","18.85962764"
