,,"2019","2019","2019"
"Indicator","Age Group","Both sexes","Male","Female"
"nMx - age-specific death rate between ages x and x+n","<1 year","0.002042025","0.002213953","0.001859357"
"nMx - age-specific death rate between ages x and x+n","1-4 years","0.000120523","0.00013136","0.000109084"
"nMx - age-specific death rate between ages x and x+n","5-9 years","6.08E-05","6.62E-05","5.50E-05"
"nMx - age-specific death rate between ages x and x+n","10-14 years","8.10E-05","8.13E-05","8.06E-05"
"nMx - age-specific death rate between ages x and x+n","15-19  years","0.000217316","0.000272823","0.000158972"
"nMx - age-specific death rate between ages x and x+n","20-24 years","0.000407334","0.000582232","0.000221638"
"nMx - age-specific death rate between ages x and x+n","25-29 years","0.000548656","0.000797521","0.000289172"
"nMx - age-specific death rate between ages x and x+n","30-34 years","0.000597979","0.000814961","0.000372349"
"nMx - age-specific death rate between ages x and x+n","35-39 years","0.000631419","0.000868105","0.000383451"
"nMx - age-specific death rate between ages x and x+n","40-44 years","0.0008359","0.00106172","0.000602038"
"nMx - age-specific death rate between ages x and x+n","45-49 years","0.001285361","0.001528519","0.001035521"
"nMx - age-specific death rate between ages x and x+n","50-54 years","0.00208688","0.002476473","0.00168476"
"nMx - age-specific death rate between ages x and x+n","55-59 years","0.003508315","0.004122165","0.002880422"
"nMx - age-specific death rate between ages x and x+n","60-64 years","0.00616397","0.007398518","0.004931185"
"nMx - age-specific death rate between ages x and x+n","65-69 years","0.010054062","0.011964732","0.008189995"
"nMx - age-specific death rate between ages x and x+n","70-74 years","0.016627074","0.019811069","0.013596441"
"nMx - age-specific death rate between ages x and x+n","75-79 years","0.028766734","0.03433522","0.023655587"
"nMx - age-specific death rate between ages x and x+n","80-84 years","0.053991127","0.064207127","0.045943291"
"nMx - age-specific death rate between ages x and x+n","85+ years","0.156954392","0.174259174","0.147280034"
"nqx - probability of dying between ages x and x+n","<1 year","0.002038279","0.00220955","0.00185625"
"nqx - probability of dying between ages x and x+n","1-4 years","0.000481955","0.000525276","0.000436221"
"nqx - probability of dying between ages x and x+n","5-9 years","0.000303832","0.000331153","0.000275003"
"nqx - probability of dying between ages x and x+n","10-14 years","0.000404952","0.000406641","0.000403167"
"nqx - probability of dying between ages x and x+n","15-19  years","0.001085988","0.001363187","0.000794545"
"nqx - probability of dying between ages x and x+n","20-24 years","0.002034597","0.002906928","0.001107576"
"nqx - probability of dying between ages x and x+n","25-29 years","0.002739521","0.00397967","0.001444814"
"nqx - probability of dying between ages x and x+n","30-34 years","0.002985432","0.00406652","0.001860015"
"nqx - probability of dying between ages x and x+n","35-39 years","0.003152117","0.004331126","0.001915421"
"nqx - probability of dying between ages x and x+n","40-44 years","0.004170783","0.005294548","0.003005665"
"nqx - probability of dying between ages x and x+n","45-49 years","0.006406221","0.007613501","0.005164238"
"nqx - probability of dying between ages x and x+n","50-54 years","0.010380246","0.012306173","0.008388468"
"nqx - probability of dying between ages x and x+n","55-59 years","0.017389061","0.02040059","0.014299143"
"nqx - probability of dying between ages x and x+n","60-64 years","0.030352126","0.03632079","0.024355671"
"nqx - probability of dying between ages x and x+n","65-69 years","0.049037739","0.058086197","0.040128347"
"nqx - probability of dying between ages x and x+n","70-74 years","0.079817538","0.094380879","0.065747379"
"nqx - probability of dying between ages x and x+n","75-79 years","0.134183607","0.158104701","0.11167367"
"nqx - probability of dying between ages x and x+n","80-84 years","0.237851024","0.276631371","0.206049926"
"nqx - probability of dying between ages x and x+n","85+ years","1","1","1"
"lx - number of people left alive at age x","<1 year","1.00E+05","1.00E+05","1.00E+05"
"lx - number of people left alive at age x","1-4 years","99796.17209","99779.04501","99814.37497"
"lx - number of people left alive at age x","5-9 years","99748.07488","99726.63349","99770.83383"
"lx - number of people left alive at age x","10-14 years","99717.76817","99693.6087","99743.39656"
"lx - number of people left alive at age x","15-19  years","99677.38727","99653.06918","99703.18327"
"lx - number of people left alive at age x","20-24 years","99569.13887","99517.22344","99623.96456"
"lx - number of people left alive at age x","25-29 years","99366.5558","99227.93405","99513.62346"
"lx - number of people left alive at age x","30-34 years","99094.33901","98833.03961","99369.84476"
"lx - number of people left alive at age x","35-39 years","98798.49962","98431.13305","99185.0154"
"lx - number of people left alive at age x","40-44 years","98487.0752","98004.81544","98995.03436"
"lx - number of people left alive at age x","45-49 years","98076.30696","97485.92426","98697.48841"
"lx - number of people left alive at age x","50-54 years","97448.00843","96743.71504","98187.79109"
"lx - number of people left alive at age x","55-59 years","96436.47409","95553.17013","97364.14594"
"lx - number of people left alive at age x","60-64 years","94759.53432","93603.82905","95971.92206"
"lx - number of people left alive at age x","65-69 years","91883.38104","90204.06402","93634.4615"
"lx - number of people left alive at age x","70-74 years","87377.62783","84964.45303","89877.06532"
"lx - number of people left alive at age x","75-79 years","80403.36066","76945.43327","83967.88384"
"lx - number of people left alive at age x","80-84 years","69614.54769","64779.99854","74590.88206"
"lx - number of people left alive at age x","85+ years","53056.65626","46859.8187","59221.43634"
"ndx - number of people dying between ages x and x+n","<1 year","203.8279086","220.9549897","185.6250254"
"ndx - number of people dying between ages x and x+n","1-4 years","48.09721603","52.41151849","43.54114146"
"ndx - number of people dying between ages x and x+n","5-9 years","30.30670548","33.02479559","27.4372691"
"ndx - number of people dying between ages x and x+n","10-14 years","40.38089564","40.53951454","40.21329548"
"ndx - number of people dying between ages x and x+n","15-19  years","108.2484084","135.8457377","79.21870533"
"ndx - number of people dying between ages x and x+n","20-24 years","202.5830611","289.2893918","110.3411006"
"ndx - number of people dying between ages x and x+n","25-29 years","272.2167936","394.8944395","143.7787034"
"ndx - number of people dying between ages x and x+n","30-34 years","295.8393932","401.9065635","184.8293606"
"ndx - number of people dying between ages x and x+n","35-39 years","311.4244217","426.3176107","189.9810374"
"ndx - number of people dying between ages x and x+n","40-44 years","410.7682388","518.8911826","297.5459497"
"ndx - number of people dying between ages x and x+n","45-49 years","628.2985237","742.2092187","509.6973216"
"ndx - number of people dying between ages x and x+n","50-54 years","1011.534346","1190.544904","823.6451451"
"ndx - number of people dying between ages x and x+n","55-59 years","1676.939766","1949.341086","1392.223888"
"ndx - number of people dying between ages x and x+n","60-64 years","2876.153281","3399.765025","2337.460557"
"ndx - number of people dying between ages x and x+n","65-69 years","4505.753213","5239.610996","3757.396176"
"ndx - number of people dying between ages x and x+n","70-74 years","6974.267163","8019.019754","5909.181483"
"ndx - number of people dying between ages x and x+n","75-79 years","10788.81298","12165.43473","9377.001781"
"ndx - number of people dying between ages x and x+n","80-84 years","16557.89142","17920.17983","15369.44572"
"ndx - number of people dying between ages x and x+n","85+ years","53056.65626","46859.8187","59221.43634"
"nLx - person-years lived between ages x and x+n","<1 year","99816.55488","99801.14051","99832.93748"
"nLx - person-years lived between ages x and x+n","1-4 years","399069.255","398990.3924","399153.0012"
"nLx - person-years lived between ages x and x+n","5-9 years","498664.6076","498550.6055","498785.576"
"nLx - person-years lived between ages x and x+n","10-14 years","498487.8886","498366.6947","498616.4496"
"nLx - person-years lived between ages x and x+n","15-19  years","498116.3154","497925.7316","498317.8696"
"nLx - person-years lived between ages x and x+n","20-24 years","497339.2367","496862.8937","497843.9701"
"nLx - person-years lived between ages x and x+n","25-29 years","496152.237","495152.4342","497208.6706"
"nLx - person-years lived between ages x and x+n","30-34 years","494732.0966","493160.4317","496387.1504"
"nLx - person-years lived between ages x and x+n","35-39 years","493213.937","491089.8712","495450.1244"
"nLx - person-years lived between ages x and x+n","40-44 years","491408.4554","488726.8492","494231.3069"
"nLx - person-years lived between ages x and x+n","45-49 years","488810.7885","485574.0982","492213.1988"
"nLx - person-years lived between ages x and x+n","50-54 years","484711.2063","480742.2129","488879.8426"
"nLx - person-years lived between ages x and x+n","55-59 years","477990.021","472892.4979","483340.17"
"nLx - person-years lived between ages x and x+n","60-64 years","466607.2884","459519.7327","474015.9589"
"nLx - person-years lived between ages x and x+n","65-69 years","448152.5222","437921.2926","458778.8171"
"nLx - person-years lived between ages x and x+n","70-74 years","419452.4712","404774.7157","434612.3729"
"nLx - person-years lived between ages x and x+n","75-79 years","375044.7709","354313.5795","396396.9148"
"nLx - person-years lived between ages x and x+n","80-84 years","306678.0099","279099.5431","334530.796"
"nLx - person-years lived between ages x and x+n","85+ years","305939.0565","249211.403","357954.9028"
"Tx - person-years lived above age x","<1 year","8240386.719","8082676.12","8396550.03"
"Tx - person-years lived above age x","1-4 years","8140570.164","7982874.98","8296717.092"
"Tx - person-years lived above age x","5-9 years","7741500.909","7583884.587","7897564.091"
"Tx - person-years lived above age x","10-14 years","7242836.302","7085333.982","7398778.515"
"Tx - person-years lived above age x","15-19  years","6744348.413","6586967.287","6900162.066"
"Tx - person-years lived above age x","20-24 years","6246232.098","6089041.556","6401844.196"
"Tx - person-years lived above age x","25-29 years","5748892.861","5592178.662","5904000.226"
"Tx - person-years lived above age x","30-34 years","5252740.624","5097026.228","5406791.555"
"Tx - person-years lived above age x","35-39 years","4758008.527","4603865.796","4910404.405"
"Tx - person-years lived above age x","40-44 years","4264794.59","4112775.925","4414954.281"
"Tx - person-years lived above age x","45-49 years","3773386.135","3624049.076","3920722.974"
"Tx - person-years lived above age x","50-54 years","3284575.346","3138474.977","3428509.775"
"Tx - person-years lived above age x","55-59 years","2799864.14","2657732.765","2939629.932"
"Tx - person-years lived above age x","60-64 years","2321874.119","2184840.267","2456289.762"
"Tx - person-years lived above age x","65-69 years","1855266.831","1725320.534","1982273.804"
"Tx - person-years lived above age x","70-74 years","1407114.308","1287399.241","1523494.986"
"Tx - person-years lived above age x","75-79 years","987661.8373","882624.5256","1088882.614"
"Tx - person-years lived above age x","80-84 years","612617.0664","528310.9461","692485.6988"
"Tx - person-years lived above age x","85+ years","305939.0565","249211.403","357954.9028"
"ex - expectation of life at age x","<1 year","82.40386719","80.8267612","83.9655003"
"ex - expectation of life at age x","1-4 years","81.57196808","80.005526","83.12146516"
"ex - expectation of life at age x","5-9 years","77.61052951","76.04673217","79.15704207"
"ex - expectation of life at age x","10-14 years","72.63335747","71.07109548","74.17812878"
"ex - expectation of life at age x","15-19  years","67.66176961","66.09899064","69.20703873"
"ex - expectation of life at age x","20-24 years","62.73261142","61.18580629","64.26008264"
"ex - expectation of life at age x","25-29 years","57.85541035","56.35689905","59.32856247"
"ex - expectation of life at age x","30-34 years","53.00747425","51.57208812","54.41078799"
"ex - expectation of life at age x","35-39 years","48.15871239","46.77245556","49.50752274"
"ex - expectation of life at age x","40-44 years","43.30308908","41.96503923","44.59773472"
"ex - expectation of life at age x","45-49 years","38.47398268","37.17510095","39.72464788"
"ex - expectation of life at age x","50-54 years","33.70592585","32.44112526","34.91788273"
"ex - expectation of life at age x","55-59 years","29.03324874","27.81417677","30.19211953"
"ex - expectation of life at age x","60-64 years","24.50280213","23.34135568","25.59383734"
"ex - expectation of life at age x","65-69 years","20.19153855","19.12686033","21.17034446"
"ex - expectation of life at age x","70-74 years","16.10382822","15.15221008","16.95087597"
"ex - expectation of life at age x","75-79 years","12.28383775","11.47078505","12.96784632"
"ex - expectation of life at age x","80-84 years","8.800129955","8.155464001","9.283784823"
"ex - expectation of life at age x","85+ years","5.766270965","5.318232333","6.04434686"
